"Plot","Site","Latitude","Longitude","Precision","Elevation","Date","Area"
"UR1-08","Urriellu",43.20259209,-4.82114759,2,1964.5575,"21/08/2008",1
"UR1-19","Urriellu",43.20259209,-4.82114759,2,1964.5575,"12/08/2019",1
"UR2-08","Urriellu",43.20259209,-4.82114759,2,1964.5575,"21/08/2008",1
"UR2-19","Urriellu",43.20259209,-4.82114759,2,1964.5575,"12/08/2019",1
"CB1-08","Cabaña Verónica",43.17627123,-4.83469896,2,2295.8455,"14/08/2008",1
"CB1-19","Cabaña Verónica",43.17627123,-4.83469896,2,2295.8455,"14/08/2019",1
"CB2-08","Cabaña Verónica",43.17627123,-4.83469896,2,2295.8455,"14/08/2008",1
"CB2-19","Cabaña Verónica",43.17627123,-4.83469896,2,2295.8455,"14/08/2019",1
"EC1-08","El Cable",43.1549746,-4.8030176,2,1910,"07/08/2008",1
"EC1-19","El Cable",43.1549746,-4.8030176,2,1910,"13/08/2019",1
"EC2-08","El Cable",43.1549746,-4.8030176,2,1910,"29/08/2008",1
"EC2-19","El Cable",43.1549746,-4.8030176,2,1910,"13/08/2019",1
"LB1-09","Los Boches",43.18432249,-4.829721297,2,2139.3481,"16/07/2009",1
"LB1-19","Los Boches",43.18432249,-4.829721297,2,2139.3481,"10/08/2019",1
"LB2-09","Los Boches",43.18432249,-4.829721297,2,2139.3481,"16/07/2009",1
"LB2-19","Los Boches",43.18432249,-4.829721297,2,2139.3481,"10/08/2019",1
"HR1-09","Horcados Rojos",43.18076511,-4.83634701,2,2398.3931,"08/07/2009",1
"HR1-19","Horcados Rojos",43.18076511,-4.83634701,2,2398.3931,"14/08/2019",1
"HR2-09","Horcados Rojos",43.18076511,-4.83634701,2,2398.3931,"08/07/2009",1
"HR2-19","Horcados Rojos",43.18076511,-4.83634701,2,2398.3931,"14/08/2019",1
"HA1-09","Hoyo Sin Tierra",43.16856023,-4.826422027,2,1950,"09/07/2009",1
"HA1-19","Hoyo Sin Tierra",43.16856023,-4.826422027,2,1950,"09/08/2019",1
"HA2-09","Hoyo Sin Tierra",43.16856023,-4.826422027,2,1950,"09/07/2009",1
"HA2-19","Hoyo Sin Tierra",43.16856023,-4.826422027,2,1950,"09/08/2019",1
"LC1-09","Los Cazadores",43.20576861,-4.829666357,2,2130.0518,"30/07/2009",1
"LC1-19","Los Cazadores",43.20576861,-4.829666357,2,2130.0518,"11/08/2019",1
"LC2-09","Los Cazadores",43.20576861,-4.829666357,2,2130.0518,"30/07/2009",1
"LC2-19","Los Cazadores",43.20576861,-4.829666357,2,2130.0518,"11/08/2019",1
"HI1-09","Hou Sin Tierri",43.19465017,-4.828482068,2,1990,"15/07/2009",1
"HI1-19","Hou Sin Tierri",43.19465017,-4.828482068,2,1990,"10/08/2019",1
"HI2-09","Hou Sin Tierri",43.19465017,-4.828482068,2,1990,"15/07/2009",1
"HI2-19","Hou Sin Tierri",43.19465017,-4.828482068,2,1990,"10/08/2019",1
