;Los Cazadores;Los Boches;?ou Sin Tierri;Hoyo Sin Tierra
Habitat;Snowbed;Snowbed;Fellfield;Fellfield
Elevation (m asl);2130;2140;1990;1950
Mean annual temperature (bio1, ºC);6;4.3;5.5;6.9
Diurnal thermal range (bio2, ºC);3.3;2.4;3.5;3.2
Annual thermal range (bio7, ºC);20.9;19.3;22.3;23.8
Absolute min temperature (ºC);-2.8;-4.1;-12;-9.9
Absolute max temperature (ºC);27.1;24.9;27;27.4
Annual growing degree days (ºC);2064;1538;1999;2454
Annual freezing degree days (ºC);3;25.6;89.2;99.7
Annual snow cover (days);129;193;100;71
Growing season length (days);168.5;132.7;173.6;196.1
Range growing season (days);135 – 203;103 – 158;149 – 200;161 - 228
Mean annual temperature during growing season period (bio1, ºC);11.7;11.1;10.2;11.9
Mean diurnal thermal range during growing season period (bio2, ºC);6.5;6;6.2;5
