"","Site","Year","GS_start","GS_end","data_start","data_end","GS_length","data_days","site_year"
"1","Hou Sin Tierri",2009,2009-05-20,2009-11-01,2009-01-01,2009-12-31,165,364,"Hou Sin Tierri 2009"
"2","Hou Sin Tierri",2010,2010-04-21,2010-10-13,2010-01-01,2010-12-31,175,364,"Hou Sin Tierri 2010"
"3","Hou Sin Tierri",2011,2011-04-30,2011-10-19,2011-01-01,2011-12-31,172,364,"Hou Sin Tierri 2011"
"4","Hou Sin Tierri",2012,2012-05-16,2012-10-13,2012-01-01,2012-12-31,150,365,"Hou Sin Tierri 2012"
"5","Hou Sin Tierri",2013,2013-05-14,2013-11-07,2013-01-01,2013-12-31,177,364,"Hou Sin Tierri 2013"
"6","Hou Sin Tierri",2014,2014-04-16,2014-11-02,2014-01-01,2014-12-31,200,364,"Hou Sin Tierri 2014"
"7","Hou Sin Tierri",2015,2015-05-12,2015-11-11,2015-01-01,2015-12-31,183,364,"Hou Sin Tierri 2015"
"8","Hou Sin Tierri",2016,2016-05-16,2016-10-29,2016-01-01,2016-12-31,166,365,"Hou Sin Tierri 2016"
"9","Hou Sin Tierri",2017,2017-04-14,2017-10-30,2017-01-01,2017-12-31,199,364,"Hou Sin Tierri 2017"
"10","Hou Sin Tierri",2018,2018-05-30,2018-10-26,2018-01-01,2018-12-31,149,364,"Hou Sin Tierri 2018"
"11","Hoyo Sin Tierra",2009,2009-05-04,2009-11-04,2009-01-01,2009-12-31,184,364,"Hoyo Sin Tierra 2009"
"12","Hoyo Sin Tierra",2010,2010-04-26,2010-10-24,2010-01-01,2010-12-31,181,364,"Hoyo Sin Tierra 2010"
"13","Hoyo Sin Tierra",2011,2011-04-09,2011-11-14,2011-01-01,2011-12-31,219,364,"Hoyo Sin Tierra 2011"
"14","Hoyo Sin Tierra",2012,2012-03-29,2012-10-26,2012-01-01,2012-12-31,211,365,"Hoyo Sin Tierra 2012"
"15","Hoyo Sin Tierra",2013,2013-05-10,2013-11-08,2013-01-01,2013-12-31,182,364,"Hoyo Sin Tierra 2013"
"16","Hoyo Sin Tierra",2014,2014-04-15,2014-11-02,2014-01-01,2014-12-31,201,364,"Hoyo Sin Tierra 2014"
"17","Hoyo Sin Tierra",2015,2015-04-06,2015-11-20,2015-01-01,2015-12-31,228,364,"Hoyo Sin Tierra 2015"
"18","Hoyo Sin Tierra",2016,2016-05-04,2016-11-04,2016-01-01,2016-12-31,184,365,"Hoyo Sin Tierra 2016"
"19","Hoyo Sin Tierra",2017,2017-04-08,2017-11-04,2017-01-01,2017-12-31,210,364,"Hoyo Sin Tierra 2017"
"20","Hoyo Sin Tierra",2018,2018-05-18,2018-10-26,2018-01-01,2018-12-31,161,364,"Hoyo Sin Tierra 2018"
"21","Los Boches",2009,2009-06-19,2009-11-01,2009-01-01,2009-12-31,135,364,"Los Boches 2009"
"22","Los Boches",2010,2010-06-05,2010-10-09,2010-01-01,2010-12-31,126,364,"Los Boches 2010"
"23","Los Boches",2011,2011-05-19,2011-10-19,2011-01-01,2011-12-31,153,364,"Los Boches 2011"
"24","Los Boches",2012,2012-06-06,2012-10-12,2012-01-01,2012-12-31,128,365,"Los Boches 2012"
"25","Los Boches",2013,2013-07-08,2013-10-19,2013-01-01,2013-12-31,103,364,"Los Boches 2013"
"26","Los Boches",2014,2014-06-13,2014-11-01,2014-01-01,2014-12-31,141,364,"Los Boches 2014"
"27","Los Boches",2015,2015-06-01,2015-10-26,2015-01-01,2015-12-31,147,364,"Los Boches 2015"
"28","Los Boches",2016,2016-06-22,2016-10-29,2016-01-01,2016-12-31,129,365,"Los Boches 2016"
"29","Los Boches",2017,2017-05-24,2017-10-29,2017-01-01,2017-12-31,158,364,"Los Boches 2017"
"30","Los Boches",2018,2018-06-29,2018-10-14,2018-01-01,2018-12-31,107,364,"Los Boches 2018"
"31","Los Cazadores",2009,2009-06-01,2009-11-01,2009-01-01,2009-12-31,153,364,"Los Cazadores 2009"
"32","Los Cazadores",2010,2010-04-25,2010-10-14,2010-01-01,2010-12-31,172,364,"Los Cazadores 2010"
"33","Los Cazadores",2011,2011-04-15,2011-10-24,2011-01-01,2011-12-31,192,364,"Los Cazadores 2011"
"34","Los Cazadores",2012,2012-05-18,2012-10-26,2012-01-01,2012-12-31,161,365,"Los Cazadores 2012"
"35","Los Cazadores",2013,2013-06-13,2013-10-26,2013-01-01,2013-12-31,135,364,"Los Cazadores 2013"
"36","Los Cazadores",2014,2014-05-03,2014-11-02,2014-01-01,2014-12-31,183,364,"Los Cazadores 2014"
"37","Los Cazadores",2015,2015-05-09,2015-11-10,2015-01-01,2015-12-31,185,364,"Los Cazadores 2015"
"38","Los Cazadores",2016,2016-05-26,2016-11-03,2016-01-01,2016-12-31,161,365,"Los Cazadores 2016"
"39","Los Cazadores",2017,2017-04-10,2017-10-30,2017-01-01,2017-12-31,203,364,"Los Cazadores 2017"
"40","Los Cazadores",2018,2018-06-08,2018-10-26,2018-01-01,2018-12-31,140,364,"Los Cazadores 2018"
