"","Taxon"
"1","Alchemilla catalaunica"
"2","Androsace villosa"
"3","Anemone pavoniana"
"4","Anthyllis vulneraria"
"5","Arabis alpina"
"6","Arenaria erinacea"
"7","Arenaria grandiflora"
"8","Arenaria moehringioides"
"9","Arenaria purpurascens"
"10","Armeria cantabrica"
"11","Botrychium lunaria"
"12","Carduus carlinoides"
"13","Carex ornithopoda"
"14","Carex pulicaris"
"15","Carex sempervirens"
"16","Cystopteris fragilis"
"17","Dethawia splendens subsp. cantabrica"
"18","Draba dedeana"
"19","Erigeron alpinus"
"20","Eryngium bourgatii"
"21","Euphorbia pyrenaica"
"22","Euphrasia salisburgensis"
"23","Festuca burnatii"
"24","Festuca glacialis"
"25","Festuca gr. rubra"
"26","Festuca hystrix"
"27","Festuca picoeuropeana"
"28","Galium pumilum"
"29","Galium pyrenaicum"
"30","Genista legionensis"
"31","Gentiana nivalis"
"32","Gentiana verna"
"33","Gentianella campestris"
"34","Gnaphalium hoppeanum"
"35","Gypsophila repens"
"36","Helianthemum apenninum subsp. cantabricum"
"37","Helianthemum apenninum subsp. urrielense"
"38","Helianthemum canum"
"39","Helianthemum nummularium"
"40","Helictotrichon sedenense"
"41","Herniaria glabra"
"42","Hippocrepis comosa"
"43","Hornungia alpina"
"44","Iberis carnosa"
"45","Jacobaea boissieri"
"46","Jasione cavanillesii"
"47","Jurinea humilis"
"48","Kobresia myosuroides"
"49","Koeleria vallesiana"
"50","Linaria alpina"
"51","Lotus corniculatus"
"52","Luzula pediformis"
"53","Minuartia verna"
"54","Oxytropis neglecta"
"55","Paronychia kapela subsp. serpyllifolia"
"56","Pedicularis pyrenaica"
"57","Phyteuma orbiculare"
"58","Pilosella officinarum"
"59","Plantago alpina"
"60","Poa alpina"
"61","Potentilla crantzii"
"62","Ranunculus carinthiacus"
"63","Ranunculus parnassiifolius subsp. favargeri"
"64","Salix breviserrata"
"65","Saxifraga conifera"
"66","Saxifraga oppositifolia"
"67","Saxifraga paniculata"
"68","Scilla verna"
"69","Sedum album"
"70","Sedum atratum"
"71","Sedum brevifolium"
"72","Sempervivum vicentei"
"73","Seseli montanum"
"74","Sesleria caerulea"
"75","Silene acaulis"
"76","Silene ciliata"
"77","Teucrium pyrenaicum"
"78","Thesium pyrenaicum"
"79","Thymus praecox subsp. ligusticus"
"80","Veronica nummularia"
"81","Viola riviniana"
"82","Viola rupestris"
